page,index_on_page,filename,bytes,extension,sha256,is_duplicate,first_seen_as
22,2,page_022/2026SS_p022_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
22,3,page_022/2026SS_p022_003.jpg,73116,jpg,650d49b0ffcf0860c8e02af2bc9a11fa96575cabcfb63fb81ada2bce48a15cc1,no,
22,4,page_022/2026SS_p022_004.jp2,109302,jp2,9360531fa536e1b53d988985ede165fc6cb683dce205cb46b6489092241c2466,no,
22,5,page_022/2026SS_p022_005.jp2,110740,jp2,46a5ffcb65312a2aeb6dd1eafab29ab1f95905571d2825d66423451919478e1e,no,
22,6,page_022/2026SS_p022_006.png,85992,png,c56b8b20e71ebea22a045a33ed654558ba5e4d91b0f609f8d7a6c33266a07cfd,no,
23,1,page_023/2026SS_p023_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
23,2,page_023/2026SS_p023_002.jpg,71851,jpg,bdfda3bdade89a47f8779af8d96733232f3c07ecc7e84cd1071ff21f4e4c7414,no,
23,3,page_023/2026SS_p023_003.jpg,92840,jpg,bde91347cfa042d652c51459fe7e19acce7d81aab03c23f31737e578c220291a,no,
23,4,page_023/2026SS_p023_004.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
24,1,page_024/2026SS_p024_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
24,2,page_024/2026SS_p024_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
24,3,page_024/2026SS_p024_003.jpg,92436,jpg,735d95e3943b536af79d3289231cf491014cec02eacc58fb0e3fd9b5b60d4358,no,
24,4,page_024/2026SS_p024_004.jpg,6989,jpg,a69ca4a5d2e2f2d5d66b21d4c10014988460259a2de06d6cf217de5090b0c828,no,
24,5,page_024/2026SS_p024_005.jpg,21923,jpg,45a77abe3fcf7b2fcd1d7f19669e76a340cc36335046c14232d6d8b3fcef9fd0,no,
24,6,page_024/2026SS_p024_006.jpg,15671,jpg,808d01d1d53a87e8334d70078317f4edefb0e872f36e9c6cb947c26a56af6c8f,no,
24,7,page_024/2026SS_p024_007.jpg,18237,jpg,48de6a48f8d5fb0e2616dfcefff55be7f6c67d9aaa08890489a8810e64628291,no,
25,1,page_025/2026SS_p025_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
25,2,page_025/2026SS_p025_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
